column_name,data_type
ride_id,STRING
rideable_type,STRING
started_at,TIMESTAMP
ended_at,TIMESTAMP
start_station_name,STRING
start_station_id,INT64
end_station_name,STRING
end_station_id,INT64
start_lat,FLOAT64
start_lng,FLOAT64
end_lat,FLOAT64
end_lng,FLOAT64
member_casual,STRING
