ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,ride_length,week_day,month,hour,day_type
0110BC114D54F5E1,docked_bike,7/24/2020 6:49,7/24/2020 6:54,Sheridan Rd & Irving Park Rd,240,Clarendon Ave & Gordon Ter,312,41.954245,-87.654406,41.957879,-87.649519,member,5,Fri,Jul,6,Weekday
69B46FEB92598135,docked_bike,7/24/2020 11:29,7/24/2020 11:39,Damen Ave & Cortland St,219,Sheffield Ave & Webster Ave,327,41.915983,-87.677335,41.92154,-87.653818,member,10,Fri,Jul,11,Weekday
BCC4C97E823ECA66,electric_bike,12/11/2020 14:42,12/11/2020 14:53,Stony Island Ave & 82nd St,583,Greenwood Ave & 79th St,576,41.7466095,-87.58599717,41.75146483,-87.5963895,casual,11,Fri,Dec,14,Weekday
73DDA5102077221E,docked_bike,7/24/2020 19:01,7/24/2020 19:26,Damen Ave & Melrose Ave,228,Clark St & Armitage Ave,94,41.9406,-87.6785,41.918306,-87.636282,casual,25,Fri,Jul,19,Weekday
5B0C5237C66ACECC,docked_bike,7/3/2020 16:25,7/3/2020 16:56,Pine Grove Ave & Waveland Ave,232,LaSalle St & Illinois St,181,41.949867,-87.646061,41.890762,-87.631697,casual,31,Fri,Jul,16,Weekday
C6E570EC7AA1BF41,docked_bike,7/3/2020 18:28,7/3/2020 18:52,Lincoln Park Conservatory,673,Lincoln Park Conservatory,673,41.923931,-87.635825,41.923931,-87.635825,casual,24,Fri,Jul,18,Weekday
F23C2318BCE16FC0,docked_bike,6/12/2020 17:21,6/12/2020 17:28,Clark St & Grace St,165,Clark St & Leland Ave,326,41.95078,-87.659172,41.967096,-87.667429,member,7,Fri,Jun,17,Weekday
EC30A4D82D98CD89,docked_bike,1/17/2020 7:44,1/17/2020 7:51,Stetson Ave & South Water St,264,LaSalle St & Jackson Blvd,283,41.8868,-87.6223,41.8782,-87.6319,member,7,Fri,Jan,7,Weekday
80ABA219294F93A9,docked_bike,2/21/2020 15:39,2/21/2020 15:49,Larrabee St & Kingsbury St,48,Desplaines St & Kinzie St,56,41.8978,-87.6429,41.8887,-87.6444,member,10,Fri,Feb,15,Weekday
30A2204D59A652A6,docked_bike,2/7/2020 15:34,2/7/2020 15:38,Clinton St & Tilden St,68,Clinton St & Roosevelt Rd,57,41.8759,-87.6408,41.8671,-87.6411,member,4,Fri,Feb,15,Weekday
E049CA7BC6A0C5E6,docked_bike,2/28/2020 16:01,2/28/2020 16:08,Green St & Madison St,198,Milwaukee Ave & Grand Ave,84,41.8819,-87.6488,41.8916,-87.6484,member,7,Fri,Feb,16,Weekday
62AB61024898512D,docked_bike,5/1/2020 6:37,5/1/2020 6:47,Larrabee St & Kingsbury St,48,Mies van der Rohe Way & Chicago Ave,173,41.8978,-87.6429,41.8969,-87.6217,member,10,Fri,May,6,Weekday
76827439CF3FA06E,docked_bike,5/29/2020 11:37,5/29/2020 11:48,Orleans St & Chestnut St (NEXT Apts),620,Lake Shore Dr & North Blvd,268,41.8982,-87.6375,41.9117,-87.6268,member,11,Fri,May,11,Weekday
3535BCDCC8C5DAE9,docked_bike,11/20/2020 12:27,11/20/2020 12:59,Laflin St & Cullerton St,208,Racine Ave & 18th St,15,41.854914,-87.663559,41.858166,-87.656495,member,32,Fri,Nov,12,Weekday
42280602879CFC84,docked_bike,11/13/2020 1:58,11/13/2020 2:08,Clinton St & Lake St,66,Noble St & Milwaukee Ave,29,41.885637,-87.641823,41.90068,-87.6626,member,10,Fri,Nov,1,Weekday
19BFBEF8562E1907,docked_bike,11/13/2020 15:47,11/13/2020 16:09,Field Blvd & South Water St,7,Wells St & Concord Ln,289,41.886349,-87.617516,41.912133,-87.634656,member,22,Fri,Nov,15,Weekday
65F71CAE32F42918,docked_bike,11/27/2020 12:02,11/27/2020 12:07,Franklin St & Illinois St,672,Desplaines St & Kinzie St,56,41.891023,-87.635479,41.88871604,-87.64444785,member,5,Fri,Nov,12,Weekday
4C5882776BBD2BDB,electric_bike,10/2/2020 19:29,10/2/2020 19:35,LaSalle St & Illinois St,181,Clark St & Schiller St,301,41.89090683,-87.63190967,41.907891,-87.6314505,casual,6,Fri,Oct,19,Weekday
680E12F6230DF0DA,electric_bike,10/16/2020 18:24,10/16/2020 18:54,Damen Ave & Charleston St,310,Broadway & Thorndale Ave,458,41.92016833,-87.67795967,41.98973267,-87.6601495,casual,30,Fri,Oct,18,Weekday
